group,variable,value
tog,v1,30
tog,v2,95
tog,v3,22
tog,v4,14
tog,v5,59
tog,v6,52
tog,v7,88
tog,v8,20
tog,v9,99
tog,v10,66
tog,v11,44
tog,v12,66
tog,v13,66
tog,v14,66
tog,v15,66
ben,v1,91
ben,v2,82
ben,v3,89
ben,v4,6
ben,v5,67
ben,v6,68
ben,v7,69
ben,v8,70
ben,v9,71
ben,v10,72
ben,v11,73
ben,v12,74
ben,v13,75
ben,v14,76
ben,v15,77
NI,v1,75
NI,v2,18
NI,v3,92
NI,v4,43
NI,v5,16
NI,v6,27
NI,v7,76
NI,v8,24
NI,v9,1
NI,v10,87
NI,v11,88
NI,v12,89
NI,v13,90
NI,v14,91
NI,v15,92
sl,v1,56
sl,v2,9
sl,v3,78
sl,v4,49
sl,v5,36
sl,v6,37
sl,v7,38
sl,v8,39
sl,v9,40
sl,v10,41
sl,v11,42
sl,v12,43
sl,v13,44
sl,v14,45
sl,v15,46
ga,v1,12
ga,v2,13
ga,v3,14
ga,v4,15
ga,v5,16
ga,v6,17
ga,v7,18
ga,v8,19
ga,v9,20
ga,v10,21
ga,v11,22
ga,v12,23
ga,v13,24
ga,v14,25
ga,v15,26
gui,v1,26
gui,v2,27
gui,v3,28
gui,v4,29
gui,v5,30
gui,v6,31
gui,v7,32
gui,v8,33
gui,v9,34
gui,v10,35
gui,v11,36
gui,v12,37
gui,v13,38
gui,v14,39
gui,v15,40
gb,v1,31
gb,v2,33
gb,v3,34
gb,v4,35
gb,v5,36
gb,v6,37
gb,v7,38
gb,v8,39
gb,v9,40
gb,v10,41
gb,v11,42
gb,v12,43
gb,v13,44
gb,v14,45
gb,v15,46
lib,v1,46
lib,v2,47
lib,v3,48
lib,v4,49
lib,v5,50
lib,v6,51
lib,v7,52
lib,v8,53
lib,v9,54
lib,v10,55
lib,v11,56
lib,v12,57
lib,v13,58
lib,v14,59
lib,v15,60
mli,v1,60
mli,v2,61
mli,v3,62
mli,v4,63
mli,v5,64
mli,v6,65
mli,v7,66
mli,v8,67
mli,v9,68
mli,v10,69
mli,v11,70
mli,v12,71
mli,v13,72
mli,v14,73
mli,v15,74
bur,v1,74
bur,v2,75
bur,v3,76
bur,v4,77
bur,v5,78
bur,v6,79
bur,v7,80
bur,v8,81
bur,v9,82
bur,v10,83
bur,v11,84
bur,v12,85
bur,v13,86
bur,v14,87
bur,v15,88
sen,v1,88
sen,v2,89
sen,v3,90
sen,v4,91
sen,v5,92
sen,v6,93
sen,v7,94
sen,v8,95
sen,v9,96
sen,v10,97
sen,v11,98
sen,v12,99
sen,v13,100
sen,v14,101
sen,v15,102
gha,v1,102
gha,v2,103
gha,v3,104
gha,v4,105
gha,v5,106
gha,v6,107
gha,v7,108
gha,v8,109
gha,v9,110
gha,v10,111
gha,v11,112
gha,v12,113
gha,v13,114
gha,v14,115
gha,v15,116
civ,v1,116
civ,v2,117
civ,v3,118
civ,v4,119
civ,v5,120
civ,v6,121
civ,v7,122
civ,v8,123
civ,v9,124
civ,v10,125
civ,v11,126
civ,v12,127
civ,v13,128
civ,v14,129
civ,v15,130
nig,v1,130
nig,v2,131
nig,v3,132
nig,v4,133
nig,v5,134
nig,v6,135
nig,v7,136
nig,v8,137
nig,v9,138
nig,v10,139
nig,v11,140
nig,v12,141
nig,v13,142
nig,v14,143
nig,v15,144
