pays;M 2008;M 2007;M 2006;poids en moyen;;poids en pourcentage
benin;1990000000;1110000000;960000000;3420000000;;1,781180305
burkina faso;1800000000;17000000000;1500000000;19300000000;;10,05169003
cap verde;826145000;749878000;542999000;1757022667;;0,915080167
cote d'ivoire;787708000;6672900000;5816520000;9399448000;;4,895354286
gambia;329402000;305000000;259288000;720831333,3;;0,375418297
ghana;10400000000;7982120000;65001110000;40049156667;;20,85811962
guinea;1600000000;1190000000;900000000;3090000000;;1,60931203
guinea bissau;160000000;110000000;110000000;306666666,7;;0,159715973
liberia;865000000;501500000;466700000;1522066667;;0,792712038
mali ;2550000000;2000000000;1844000000;5164666667;;2,689825307
niger;1450000000;970000000;950000000;2736666667;;1,425291453
nigeria;42378100000;37576000000;26768100000;88876800000;;46,28818881
senegal;5701730000;4250000000;3434000000;11096396667;;5,779147135
sierra leone;560000000;444668000;389368000;1134457333;;0,590840076
togo;1540000000;1450000000;1330000000;3433333333;;1,788124478
totaux;72938085000;82312066000;1,10E+11;1,92E+11;;100
reste;11870547000;8831046000;7752355000;23285711333;;12,12750012
